order,pollutant,station,timing,type,value
17.0,NO2,guildhall,weeks,air,14.439996683673455
18.0,NO2,guildhall,weeks,air,14.146111989795893
19.0,NO2,guildhall,weeks,air,13.805044387755085
20.0,NO2,guildhall,weeks,air,14.066012499999994
21.0,NO2,guildhall,weeks,air,13.268324234693887
22.0,NO2,guildhall,weeks,air,11.358381122448948
23.0,NO2,guildhall,weeks,air,9.723946428571395
24.0,NO2,guildhall,weeks,air,12.275869753086383
25.0,NO2,guildhall,weeks,air,11.268782716049355
26.0,NO2,guildhall,weeks,air,10.36476913580244
27.0,NO2,guildhall,weeks,air,9.284526234567872
28.0,NO2,guildhall,weeks,air,8.812621604938245
29.0,NO2,guildhall,weeks,air,9.822491975308614
30.0,NO2,guildhall,weeks,air,11.531426851851815
31.0,NO2,guildhall,weeks,air,13.702114687499975
32.0,NO2,guildhall,weeks,air,14.863055312499977
33.0,NO2,guildhall,weeks,air,16.53509938271602
34.0,NO2,guildhall,weeks,air,16.3028833827893
35.0,NO2,guildhall,weeks,air,16.342153950953662
36.0,NO2,guildhall,weeks,air,15.888225265957448
37.0,NO2,guildhall,weeks,air,16.03422340425531
38.0,NO2,guildhall,weeks,air,16.12279521276595
39.0,NO2,guildhall,weeks,air,17.196193617021258
40.0,NO2,guildhall,weeks,air,19.211071542553178
41.0,NO2,guildhall,weeks,air,19.307086702127645
42.0,NO2,guildhall,weeks,air,18.090893633952252
43.0,NO2,guildhall,weeks,air,17.53518631578946
44.0,NO2,guildhall,weeks,air,16.47809052631578
45.0,NO2,guildhall,weeks,air,16.170977894736833
46.0,NO2,guildhall,weeks,air,15.727823421052616
47.0,NO2,guildhall,weeks,air,14.664420263157892
48.0,NO2,guildhall,weeks,air,11.628318539325807
49.0,NO2,guildhall,weeks,air,10.271312359550537
50.0,NO2,guildhall,weeks,air,9.554794886363617
51.0,NO2,guildhall,weeks,air,8.632433908045956
52.0,NO2,guildhall,weeks,air,9.552547988505726
